elements	cpu	cpuStdDev	to	toStdDev	run	runStdDev	back	backStdDev	gpu	gpuStdDev
1024	106.6	15.1	774.2	299.4	17.6	8.1	199.6	16.8	991.4	324.3
2048	194.6	34.3	583	233.6	17.4	9.3	223	25.4	823.4	268.3
4096	128	16.6	500.4	249.2	18.6	9.2	199	35.8	718	294.2
8192	227.8	11.4	1623.6	2071.2	30.2	15	213.2	23.4	1867	2109.6
16384	423.6	15.1	1260	1536.4	54.8	28.6	210.8	39.1	1525.6	1604.1
32768	887.6	137.7	875.8	335.1	108.6	58.4	269.6	40.8	1254	434.3
65536	1759.2	338.9	961	252.8	204.8	109.3	334.2	47.2	1500	409.3
131072	3245.4	153.9	2059.2	1003.6	387.6	198.7	444.8	96	2891.6	1298.3
262144	6602.6	418.5	2023.4	556.9	774.2	414.1	636.6	196.6	3434.2	1167.6
524288	13187.8	889	3238.2	851.9	1484.4	790	1048.6	446.8	5771.2	2088.7
1048576	26943	1165.3	6125.6	1513.7	2934.6	1563.5	1937.4	744.3	10997.6	3821.5
2097152	53959.2	2252	11385.8	3432.8	5844.2	3115.1	3418.6	1602.5	20648.6	8150.4
4194304	110581.6	12228.8	21314.6	6075.1	10541.4	5610.3	6534.8	3144.9	38390.8	14830.3
8388608	219721.8	18765.5	43152.8	12484.4	21588.8	11500.7	12597.8	6107.1	77339.4	30092.2
16777216	416977.8	24243.7	108560.6	49824.9	39889	21007.8	23042.8	4335.5	171492.4	75168.2
33554432	830150.6	7263.1	210018.8	46169.9	76859	5723.2	49349.2	1335.9	336227	53229
67108864	1680736.8	25568.9	482457.2	142581.7	156686.2	9537.3	96200.8	4395.4	735344.2	156514.4