NumberOfElements	Runtime	StandardDeviation
131072	29.3331	1.69362
262144	54.6355	3.1141
393216	80.97790000000001	8.34491
524288	105.174	4.40197
655360	130.266	3.95259
786432	155.55	4.52169
917504	179.691	4.66061
1048576	205.792	6.91501
1179648	228.881	3.538
1310720	252.447	1.31909
1441792	278.76	4.42293
1572864	307.306	6.16802
1703936	331.522	6.55876
1835008	352.884	3.24382
1966080	377.089	1.73444
2097152	401.974	1.8018
2228224	426.699	1.32254
2359296	451.897	2.11918
2490368	476.842	2.17909
2621440	501.512	1.78376
2752512	526.247	1.29993
2883584	551.126	1.26088
3014656	576.237	1.74309
3145728	601.148	1.93143
3276800	628.011	4.91326
3407872	655.511	8.785690000000001
3538944	681.2190000000001	6.4067
3670016	706.643	6.30594
3801088	732.266	6.41783
3932160	758.604	5.77251
4063232	779.134	4.0828
4194304	807.7859999999999	3.89233
4325376	831.5650000000001	4.12341
4456448	854.883	3.81589
4587520	881.5650000000001	3.8488
4718592	904.557	3.4358
4849664	928.342	3.42501
4980736	954.032	3.83587
5111808	976.949	3.17436
5242880	1000.37	2.24749
5373952	1025.89	3.33683
5505024	1050.17	6.76396
5636096	1073.84	1.24664
5767168	1099.77	7.69547
5898240	1123.89	2.43714
6029312	1148.43	1.30976
6160384	1173.18	0.28852
6291456	1198.04	0.268545
6422528	1222.93	0.228011
6553600	1247.81	0.281792
6684672	1272.65	0.245539
6815744	1297.65	0.297692
6946816	1322.54	0.291838
7077888	1347.36	0.257683
7208960	1372.24	0.240844
7340032	1397.1	0.258945
7471104	1422.03	0.247733
7602176	1446.95	0.246543
7733248	1471.86	0.284668
7864320	1496.82	0.301625
7995392	1521.64	0.264318
8126464	1546.52	0.268207
8257536	1571.44	0.267518
8388608	1596.25	0.242803
8519680	1621.2	0.29249
8650752	1646.07	0.270481
8781824	1670.97	0.287462
8912896	1696.07	1.30113
9043968	1720.68	0.245487
9175040	1745.55	0.245493
9306112	1770.48	0.29999
9437184	1795.41	0.274778
9568256	1820.27	0.269226
9699328	1845.18	0.281792
9830400	1870.08	0.295754
9961472	1894.93	0.289937
10092544	1919.91	0.296015
10223616	1944.71	0.257534
10354688	1969.62	0.290795
10485760	1994.47	0.266253
10616832	2019.39	0.279459
10747904	2044.3	0.285134
10878976	2069.7	4.0267
11010048	1156.45	516.796
11141120	2119.34	0.0929566
11272192	2144.23	0.0973825
11403264	2169.11	0.09215710000000001
11534336	2194.02	0.09315279999999999
11665408	2218.9	0.0981028
11796480	2243.77	0.0870286
11927552	2268.66	0.09173530000000001
12058624	2293.57	0.115139
12189696	2318.44	0.0849907
12320768	2343.35	0.111116
12451840	2368.23	0.085728
12582912	2393.11	0.0940763
12713984	2417.99	0.101489
12845056	2442.92	0.116023
12976128	2467.76	0.0793478
13107200	2492.68	0.105997
13238272	2517.56	0.0874124
13369344	2542.45	0.0921997
13500416	1799.67	776.55
13631488	1468.35	644.408
13762560	2617.11	0.0961062
13893632	2642.01	0.10247
14024704	2666.89	0.0926777
14155776	2691.78	0.09673900000000001
14286848	2716.65	0.0834052
14417920	2741.58	0.101905
14548992	2766.46	0.097673
14680064	2791.33	0.08841640000000001
14811136	2816.22	0.0917869
14942208	2841.12	0.100905
15073280	2866.58	4.08981
15204352	2890.9	0.081377
15335424	2915.79	0.0919703
15466496	2940.68	0.0992601
15597568	2965.56	0.10293
15728640	2990.46	0.128855
15859712	3015.33	0.0983016
15990784	3040.25	0.109902
16121856	2872.59	526.766
16252928	3090.37	0.195282
16384000	3115.18	0.19963
16515072	3140.04	0.186444
16646144	3164.96	0.212433
16777216	3189.86	0.210701